Frame 81: X=336, Y=37, Radius=29
Frame 81: X=276, Y=40, Radius=29
Frame 81: X=82, Y=37, Radius=34
Frame 82: X=305, Y=57, Radius=8
Frame 82: X=213, Y=58, Radius=8
Frame 82: X=213, Y=34, Radius=8
Frame 82: X=413, Y=46, Radius=21
Frame 82: X=156, Y=46, Radius=48
Frame 82: X=356, Y=33, Radius=43
Frame 82: X=276, Y=40, Radius=29
Frame 82: X=82, Y=37, Radius=34
Frame 83: X=305, Y=57, Radius=8
Frame 83: X=213, Y=58, Radius=8
Frame 83: X=213, Y=34, Radius=8
Frame 83: X=156, Y=46, Radius=48
Frame 83: X=373, Y=41, Radius=58
Frame 83: X=276, Y=40, Radius=29
Frame 83: X=82, Y=37, Radius=34
Frame 84: X=305, Y=57, Radius=8
Frame 84: X=213, Y=58, Radius=8
Frame 84: X=213, Y=34, Radius=8
